,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2021-06-01,460087.65177574963,300435.19524916983,662825.4752129653,460087.65177574963,460087.65177574963,0.8787023032111841,0.8787023032111841,0.8787023032111841,0.05377617194472856,0.05377617194472856,0.05377617194472856,0.35803056989810994,0.35803056989810994,0.35803056989810994,-1.1829567011645656,-1.1829567011645656,-1.1829567011645656,0.0,0.0,0.0,484829.4044472887
1,2021-06-02,415983.07444755314,-170792.53781781005,200540.1026699512,415983.07444755314,415983.07444755314,0.8787023032111841,0.8787023032111841,0.8787023032111841,-0.972253190423216,-0.972253190423216,-0.972253190423216,-0.4002206755387127,-0.4002206755387127,-0.4002206755387127,-1.4507348180956872,-1.4507348180956872,-1.4507348180956872,0.0,0.0,0.0,11542.203153861416
2,2021-06-03,371878.49703670834,-154104.70885936453,196190.51142534355,371878.49703670834,371878.49703670834,0.8787023032111841,0.8787023032111841,0.8787023032111841,-0.9572383206494445,-0.9572383206494445,-0.9572383206494445,-0.1648242339177517,-0.1648242339177517,-0.1648242339177517,-1.6711163899428765,-1.6711163899428765,-1.6711163899428765,0.0,0.0,0.0,15902.149047650235
3,2021-06-04,327773.91983277403,-205575.0320612039,164464.78659647913,327773.91983277403,327773.91983277403,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.0645313592600987,-1.0645313592600987,-1.0645313592600987,-0.09794637868515398,-0.09794637868515398,-0.09794637868515398,-1.845287283786129,-1.845287283786129,-1.845287283786129,0.0,0.0,0.0,-21151.696576819522
4,2021-06-05,283669.342748039,-202583.0920805527,151846.81683707563,283669.342748039,283669.342748039,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.0768318714248453,-1.0768318714248453,-1.0768318714248453,0.02004897554136141,0.02004897554136141,0.02004897554136141,-1.9755831501773904,-1.9755831501773904,-1.9755831501773904,0.0,0.0,0.0,-21794.846469187694
5,2021-06-06,239564.7654879671,-209312.46932887385,167425.38488301437,239564.7654879671,239564.7654879671,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.1052647828752011,-1.1052647828752011,-1.1052647828752011,0.08139083875498901,0.08139083875498901,0.08139083875498901,-2.0653579248413743,-2.0653579248413743,-2.0653579248413743,0.0,0.0,0.0,-25217.733023639335
6,2021-06-07,195460.18844281792,-197484.09077607034,185445.32159490229,195460.18844281792,195460.18844281792,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.0366036192002352,-1.0366036192002352,-1.0366036192002352,0.20352090394981578,0.20352090394981578,0.20352090394981578,-2.118826826361235,-2.118826826361235,-2.118826826361235,0.0,0.0,0.0,-7154.55030656713
7,2021-06-08,151355.6116579503,-152730.25469190034,204545.89847344026,151355.6116579503,151355.6116579503,0.8787023032111841,0.8787023032111841,0.8787023032111841,-0.9041561946699993,-0.9041561946699993,-0.9041561946699993,0.35803056989790616,0.35803056989790616,0.35803056989790616,-2.14088906777909,-2.14088906777909,-2.14088906777909,0.0,0.0,0.0,14506.497779347772
8,2021-06-09,107251.03498798478,-251600.29195677882,103339.03724684073,107251.03498798478,107251.03498798478,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.6584543830357876,-1.6584543830357876,-1.6584543830357876,-0.4002206755390571,-0.4002206755390571,-0.4002206755390571,-2.136936010707915,-2.136936010707915,-2.136936010707915,0.0,0.0,0.0,-70619.91407296319
9,2021-06-10,63146.45836758787,-213242.1880329123,155618.45201335006,63146.45836758787,63146.45836758787,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.39877275824337,-1.39877275824337,-1.39877275824337,-0.16482423391828188,-0.16482423391828188,-0.16482423391828188,-2.1126508275362723,-2.1126508275362723,-2.1126508275362723,0.0,0.0,0.0,-25181.087376543146
10,2021-06-11,19041.88192994688,-194647.9048757881,181380.20354417994,19041.88192994688,19041.88192994688,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.2930499679369387,-1.2930499679369387,-1.2930499679369387,-0.09794637868573362,-0.09794637868573362,-0.09794637868573362,-2.073805892462389,-2.073805892462389,-2.073805892462389,0.0,0.0,0.0,-5580.222889029907
11,2021-06-12,-25062.687496439583,-180106.3389377601,181085.7491428791,-25062.687496439583,-25062.687496439583,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.127312813638938,-1.127312813638938,-1.127312813638938,0.020048975539949415,0.020048975539949415,0.020048975539949415,-2.0260640923900715,-2.0260640923900715,-2.0260640923900715,0.0,0.0,0.0,3190.8012625251567
12,2021-06-13,-69167.25704314963,-166626.0485403283,185409.31407889276,-69167.25704314963,-69167.25704314963,0.8787023032111841,0.8787023032111841,0.8787023032111841,-1.0146968947909252,-1.0146968947909252,-1.0146968947909252,0.08139083875538268,0.08139083875538268,0.08139083875538268,-1.974790036757492,-1.974790036757492,-1.974790036757492,0.0,0.0,0.0,1016.5438997400483
13,2021-06-14,-113271.82663683394,-202245.42332482568,165011.9719519682,-113271.82663683394,-113271.82663683394,0.8787023032111841,0.8787023032111841,0.8787023032111841,-0.842653551728544,-0.842653551728544,-0.842653551728544,0.2035209039497827,0.2035209039497827,0.2035209039497827,-1.9248767588895106,-1.9248767588895106,-1.9248767588895106,0.0,0.0,0.0,-17822.91961052593
